;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer
;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich
;Bestandene Prüfung;Bestandene Prüfung;Nichtbestandene Prüfung;Nichtbestandene Prüfung;Bestandene Prüfung;Bestandene Prüfung;Nichtbestandene Prüfung;Nichtbestandene Prüfung;Bestandene Prüfung;Bestandene Prüfung;Nichtbestandene Prüfung;Nichtbestandene Prüfung;Bestandene Prüfung;Bestandene Prüfung;Nichtbestandene Prüfung;Nichtbestandene Prüfung
1999;118454;e;1641;e;91484;e;921;e;6851;e;125;e;4907;e;67;e
2000;111000;e;1541;e;90682;e;951;e;7396;e;153;e;5395;e;74;e
2001;104670;e;1552;e;89650;e;944;e;7792;e;154;e;6011;e;102;e
2002;102147;e;1414;e;91350;e;924;e;8404;e;182;e;6705;e;113;e
2003;103379;e;1392;e;97803;e;751;e;9198;e;146;e;7766;e;103;e
2004;107806;e;1503;e;103547;e;976;e;10581;e;200;e;9006;e;121;e
2005;114996;e;1309;e;113754;e;984;e;12515;e;214;e;11217;e;163;e
2006;118359;e;1532;e;121374;e;900;e;13276;e;287;e;12695;e;181;e
2007;126212;e;1826;e;130608;e;1156;e;14799;e;363;e;14772;e;243;e
2008;135692;e;2993;e;141876;e;1829;e;15581;e;537;e;16215;e;367;e
2009;149467;e;4024;e;155478;e;2002;e;16432;e;699;e;17279;e;441;e
2010;158722;e;5859;e;167503;e;2629;e;17206;e;967;e;18266;e;631;e
2011;174443;e;6782;e;179396;e;3061;e;18991;e;1057;e;19341;e;688;e
2012;184305;e;8568;e;189455;e;3713;e;19342;e;1210;e;20236;e;833;e
2013;194209;e;10571;e;200862;e;4280;e;20624;e;1448;e;20725;e;891;e
2014;206286;e;12055;e;210546;e;4892;e;21590;e;1627;e;22081;e;1084;e
2015;216616;e;12233;e;218538;e;5194;e;23303;e;1768;e;23131;e;1177;e
2016;217922;e;11749;e;224644;e;5169;e;24852;e;1846;e;24260;e;1157;e
2017;220222;e;12120;e;228779;e;5645;e;26474;e;1967;e;26259;e;1278;e
2018;216217;e;13672;e;227458;e;6504;e;27575;e;2290;e;27425;e;1517;e
2019;216973;e;14525;e;235306;e;7264;e;30664;e;2791;e;29342;e;1729;e
2020;200355;e;9127;e;218888;e;4838;e;29798;e;1872;e;27872;e;1209;e
2021;210903;e;4309;e;241594;e;2460;e;33257;e;1065;e;32190;e;597;e
2022;204436;e;5257;e;233200;e;2806;e;35255;e;1427;e;32759;e;839;e
2023;199625;e;10434;e;232158;e;5329;e;37056;e;2812;e;33086;e;1556;e
2024;200459;e;11756;e;236075;e;6497;e;39551;e;3453;e;35521;e;1938;e
